Fish ID,Date,Time,Weather,Watershed/Tributary,Temperature,FL (cm),Destructive,YOY?,Run on BioMark,Comments
1,8/6/19,8:50,"Calm, sunny",Roaring 1,60,60,N,YOY,,
2,8/6/19,8:50,"Calm, sunny",Roaring 1,60,116,N,,,
3,8/6/19,8:50,"Calm, sunny",Roaring 1,60,104,N,,,
4,8/6/19,8:50,"Calm, sunny",Roaring 1,60,63,N,YOY,BioMark,
5,8/6/19,8:50,"Calm, sunny",Roaring 1,60,63,N,YOY,,
6,8/6/19,9:22,"Calm, sunny",Roaring 1,60,60,N,YOY,,length estimated
7,8/6/19,9:22,"Calm, sunny",Roaring 1,60,129,N,,,
8,8/6/19,9:22,"Calm, sunny",Roaring 1,60,63,N,YOY,,
9,8/6/19,9:22,"Calm, sunny",Roaring 1,60,124,N,,,
10,8/6/19,9:22,"Calm, sunny",Roaring 1,60,100,N,,BioMark,
11,8/6/19,10:34,"Calm, sunny",Roaring 2,63,48,N,YOY,,
12,8/6/19,10:34,"Calm, sunny",Roaring 2,63,46,N,YOY,,
13,8/6/19,10:34,"Calm, sunny",Roaring 2,63,88,N,,,
14,8/6/19,11:00,"Calm, sunny",Roaring 2,63,119,N,,BioMark,
15,8/6/19,11:00,"Calm, sunny",Roaring 2,63,108,N,,,
16,8/6/19,11:00,"Calm, sunny",Roaring 2,63,108,N,,,
17,8/6/19,11:00,"Calm, sunny",Roaring 2,63,44,N,YOY,,
18,8/6/19,11:00,"Calm, sunny",Roaring 2,63,54,N,YOY,BioMark,
19,8/6/19,12:00,"Calm, sunny",Roaring 3,59,114,N,,,slimy fish; dropped
20,8/6/19,12:00,"Calm, sunny",Roaring 3,59,53,N,YOY,,
21,8/6/19,12:00,"Calm, sunny",Roaring 3,59,60,N,YOY,,
22,8/6/19,12:00,"Calm, sunny",Roaring 3,59,73,N,,,
23,8/6/19,12:30,"Calm, sunny",Roaring 3,59,78,N,,BioMark,
24,8/6/19,12:30,"Calm, sunny",Roaring 3,59,66,N,YOY,BioMark,
25,8/6/19,12:30,"Calm, sunny",Roaring 3,59,114,N,,,
38,8/6/19,16:30,"Calm, sunny",Roaring 5,65,163,N,,,
39,8/6/19,16:30,"Calm, sunny",Roaring 5,65,68,N,YOY,BioMark,
40,8/6/19,16:30,"Calm, sunny",Roaring 5,65,57,N,YOY,,
41,8/6/19,16:30,"Calm, sunny",Roaring 5,65,172,N,,,
42,8/8/19,11:30,"Calm, sunny",Roaring 4,68,68,N,YOY,,went into recovery
43,8/8/19,11:30,"Calm, sunny",Roaring 4,68,74,N,YOY,,
44,8/8/19,11:30,"Calm, sunny",Roaring 4,68,73,N,YOY,BioMark,
45,8/8/19,11:30,"Calm, sunny",Roaring 4,68,64,N,YOY,,
46,8/8/19,12:32,"Calm, sunny",Roaring 4,68,70,N,YOY,,
47,8/8/19,12:32,"Calm, sunny",Roaring 4,68,70,N,YOY,,
48,8/8/19,12:32,"Calm, sunny",Roaring 4,68,166,N,,BioMark,
49,8/8/19,12:32,"Calm, sunny",Roaring 4,68,72,N,YOY,,
50,8/8/19,14:10,"Calm, sunny",Roaring 5,,69,N,,,
51,8/8/19,14:10,"Calm, sunny",Roaring 5,,116,N,,,
52,8/8/19,14:10,"Calm, sunny",Roaring 5,,129,N,,,
53,8/8/19,14:10,"Calm, sunny",Roaring 5,,182,N,,BioMark,
54,8/9/19,8:39,"Calm, sunny",Fourmile 1,64,125,N,,,
55,8/9/19,8:39,"Calm, sunny",Fourmile 1,64,80,N,,,yoy?
56,8/9/19,8:39,"Calm, sunny",Fourmile 1,64,115,N,,,
57,8/9/19,8:39,"Calm, sunny",Fourmile 1,64,144,N,,,
58,8/9/19,9:46,"Calm, sunny",Fourmile 1,64,173,N,,BioMark,
59,8/9/19,9:46,"Calm, sunny",Fourmile 1,64,149,N,,,
60,8/9/19,9:46,"Calm, sunny",Fourmile 1,64,68,N,YOY,,dropped
61,8/9/19,9:46,"Calm, sunny",Fourmile 1,64,63,N,YOY,BioMark,
62,8/9/19,10:42,"Calm, sunny",Fourmile 2,18.5,62,N,YOY,,
63,8/9/19,10:42,"Calm, sunny",Fourmile 2,18.5,42,N,YOY,,
64,8/9/19,10:42,"Calm, sunny",Fourmile 2,18.5,101,N,,BioMark,
65,8/9/19,10:42,"Calm, sunny",Fourmile 2,18.5,58,N,YOY,,
66,8/9/19,10:42,"Calm, sunny",Fourmile 2,18.5,55,N,YOY,BioMark,
67,8/9/19,11:05,"Calm, sunny",Fourmile 2,18.5,54,N,YOY,,
68,8/9/19,11:05,"Calm, sunny",Fourmile 2,18.5,93,N,,,
